Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2015,22,Real Sociedad ,2 - 1 ,Betis ,Anoeta ,30 de enero ,22:05 ,,,,
2015,22,Sevilla ,3 - 1 ,Levante ,Ramón Sánchez-Pizjuán ,31 de enero ,12:00 ,,,,
2015,22,Valencia ,0 - 1 ,Sporting de Gijón ,Mestalla ,31 de enero ,16:00 ,,,,
2015,22,Las Palmas ,2 - 1 ,Celta de Vigo ,Gran Canaria ,31 de enero ,18:15 ,,,,
2015,22,Real Madrid ,6 - 0 ,Espanyol ,Santiago Bernabéu ,31 de enero ,20:30 ,,,,
2015,22,Deportivo de La Coruña ,2 - 2 ,Rayo Vallecano ,Riazor ,1 de febrero ,20:30 ,,,,
2015,23,Málaga ,3 - 0 ,Getafe ,La Rosaleda ,5 de febrero ,20:30 ,,,,
2015,23,Atlético de Madrid ,3 - 1 ,Eibar ,Vicente Calderón ,6 de febrero ,16:00 ,,,,
2015,23,Rayo Vallecano ,2 - 0 ,Las Palmas ,Campo de Fútbol de Vallecas ,6 de febrero ,18:15 ,,,,
2015,23,Athletic Club ,0 - 0 ,Villarreal ,San Mamés ,6 de febrero ,20:30 ,,,,
2015,23,Sporting de Gijón ,1 - 1 ,Deportivo de La Coruña ,El Molinón ,6 de febrero ,22:05 ,,,,
2015,23,Levante ,0 - 2 ,Barcelona ,Ciutat de València ,7 de febrero ,12:00 ,,,,
2015,23,Betis ,1 - 0 ,Valencia ,Benito Villamarín ,7 de febrero ,16:00 ,,,,
2015,23,Celta de Vigo ,1 - 1 ,Sevilla ,Balaídos ,7 de febrero ,18:15 ,,,,
2015,23,Granada ,1 - 2 ,Real Madrid ,Nuevo Los Carmenes ,7 de febrero ,20:30 ,,,,
2015,23,Espanyol ,0 - 5 ,Real Sociedad ,Cornellà-El Prat ,8 de febrero ,20:30 ,,,,
2015,24,Sporting de Gijón ,2 - 2 ,Rayo Vallecano ,El Molinón ,12 de febrero ,20:30 ,,,,
2015,24,Real Madrid ,4 - 2 ,Athletic Club ,Santiago Bernabéu ,13 de febrero ,16:00 ,,,,
2015,24,Villarreal ,1 - 0 ,Málaga ,El Madrigal ,13 de febrero ,18:15 ,,,,
2015,24,Valencia ,2 - 1 ,Espanyol ,Mestalla ,13 de febrero ,20:30 ,,,,
2015,24,Deportivo de La Coruña ,2 - 2 ,Betis ,Riazor ,13 de febrero ,22:05 ,,,,
2015,24,Real Sociedad ,3 - 0 ,Granada ,Anoeta ,14 de febrero ,12:00 ,,,,
2015,24,Sevilla ,2 - 0 ,Las Palmas ,Ramón Sánchez-Pizjuán ,14 de febrero ,16:00 ,,,,
2015,24,Getafe ,0 - 1 ,Atlético de Madrid ,Coliseum Alfonso Pérez ,14 de febrero ,18:15 ,,,,
2015,24,Eibar ,2 - 0 ,Levante ,Ipurúa ,14 de febrero ,18:15 ,,,,
2015,24,Barcelona ,6 - 1 ,Celta de Vigo ,Camp Nou ,14 de febrero ,20:30 ,,,,
2015,25,Levante ,3 - 0 ,Getafe ,Ciutat de València ,19 de febrero ,20:30 ,,,,
