Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2019,10,26/10/2019,Leganés,1-0,Mallorca,Estadio Municipal de Butarque,Prieto Iglesias,"['Cuéllar', 'Rosales', 'Siovas', 'Bustinza', 'Jonathan Silva', 'Óscar', 'Rivera', 'Recio', 'Roque Mesa', 'Carrillo', 'Braithwaite', 'Manolo Reina', 'Fran Gámez', 'Sastre', 'Valjent', 'Raíllo', 'Febas', 'Dani Rodríguez']",77,77,"['Baba', 'Salva Sevilla', 'Budimir', 'Lago Junior', 'Eraso', 'Awaziem', 'Arnaiz', 'Soriano', 'Ruibal', 'Kevin Rodrigues', 'Avi', 'Kubo', 'Álex Alegría', 'Trajkovski', 'Parera', 'Lumor', 'Señé', 'Xisco Campos']",0,0
2019,10,27/10/2019,Levante,0-1,Espanyol,Ciutat de Valencia,González Fuertes,"['Aitor', 'Coke', 'Cabaco', 'Rubén Vezo', 'Clerc', 'Campaña', 'Rochina', 'Radoja', 'Morales', 'Roger', 'Hernâni', 'Diego López', 'Víctor Gómez', 'Bernardo', 'David López', 'Naldo', 'Pedrosa', 'Marc Roca']",76,79,"['Darder', 'Víctor Sánchez', 'Vargas', 'Ferreyra', 'Sergio León', 'Mayoral', 'Miramón', 'Bardhi', 'Postigo', 'Melero', 'Cárdenas', 'Dídac Vilà', 'Campuzano', 'Granero', 'Andrés Prieto', 'Lei', 'Melendo', 'Javi López']",0,0
2019,10,27/10/2019,Osasuna,3-1,Valencia,Estadio El Sadar,Jaime Latre,"['Rubén', 'Nacho Vidal', 'Aridane', 'Oier', 'Raúl Navas', 'Estupiñán', 'Brašanac', 'Rubén García', 'Roberto Torres', 'Chimy Ávila', 'Adrián López', 'Jaume', 'Thierry Correia', 'Garay', 'Gabriel Paulista', 'Gayà', 'Parejo', 'Carlos Soler']",70,70,"['Kondogbia', 'Rodrigo', 'Cheryshev', 'Gameiro', 'Iñigo Pérez', 'Lillo', 'Cardona', 'Herrera', 'David García', 'Brandon', 'Luis Perea', 'Ferran Torres', 'Coquelin', 'Maxi Gómez', 'Jaume Costa', 'Diakhaby', 'Wass', 'Rivero']",0,0
2019,10,27/10/2019,Sevilla,2-0,Getafe,Estadio Ramón Sánchez-Pizjuán,Sánchez Martínez,"['Vaclík', 'Jesús Navas', 'Diego Carlos', 'Koundé', 'Reguilón', 'Jordán', 'Banega', 'Ocampos', 'Fernando', 'Chicharito Hernández', 'Nolito', 'David Soria', 'Jason', 'Nyom', 'Etxeita', 'Cabrera', 'Cucurella', 'Raúl Carnero']",81,82,"['Maksimović', 'Arambarri', 'Jorge Molina', 'Mata', 'Óliver Torres', 'De Jong', 'Franco Vázquez', 'Bono', 'Munir', 'Gudelj', 'Escudero', 'Olivera', 'Kenedy', 'Ángel', 'Chichizola', 'Fajr', 'Timor', 'Duro']",0,0
2019,10,25/10/2019,Villarreal,4-1,Alavés,Estadio de la Cerámica,Medié Jiménez,"['Asenjo', 'Mario Gaspar', 'Pau Torres', 'Albiol', 'Alberto Moreno', 'Moi Gómez', 'Zambo Anguissa', 'Iborra', 'Cazorla', 'Ekambi', 'Gerard Moreno', 'Pacheco', 'Martín', 'Aleix Vidal', 'Magallán', 'Laguardia', 'Duarte', 'Wakaso']",82,83,"['Manu García', 'Rioja', 'Lucas Pérez', 'Joselu', 'Ontiveros', 'Samu', 'Manu Trigueros', 'Andrés Fernández', 'Funes Mori', 'Bacca', 'Quintillà', 'Burke', 'Borja Sainz', 'Guidetti', 'Sivera', 'Dani Torres', 'Pere Pons', 'Tachi']",0,0
2019,10,26/10/2019,Valladolid,2-0,Eibar,E.M. José Zorrilla,Munuera Montero,"['Masip', 'Moyano', 'Salisu', 'Joaquín', 'Kiko Olivas', 'Nacho', 'Míchel', 'Toni', 'Óscar Plano', 'Sergi Guardiola', 'Ünal', 'Dmitrović', 'Tejero', 'Arbilla', 'Paulo Oliveira', 'José Ángel', 'Pedro León', 'Edu Expósito']",81,82,"['Diop', 'Escalante', 'Orellana', 'Quique González', 'Anuar', 'Waldo', 'De Frutos', 'Lunin', 'Barba', 'Hervías', 'Antoñito', 'Kike García', 'Sergi Enrich', 'Yoel', 'Bigas', 'Sergio Álvarez', 'De Blasis', 'Inui']",0,0
2019,11,29/10/2019,Alavés,1-1,Atlético de Madrid,Mendizorrotza,Estrada Fernández,"['Pacheco', 'Martín', 'Aleix Vidal', 'Magallán', 'Laguardia', 'Duarte', 'Wakaso', 'Manu García', 'Rioja', 'Lucas Pérez', 'Joselu', 'Oblak', 'Arias', 'Hermoso', 'Felipe', 'Lodi', 'Héctor Herrera', 'Marcos Llorente']",82,84,"['Lemar', 'Saúl', 'Diego Costa', 'Correa', 'Pina', 'Pere Pons', 'Burke', 'Sivera', 'Guidetti', 'Tachi', 'Borja Sainz', 'Thomas', 'Morata', 'Koke', 'Adán', 'Vitolo', 'Trippier', 'Riquelme']",0,0
2019,11,30/10/2019,Athletic Club,3-0,Espanyol,San Mamés,Martínez Munuera,"['Unai Simón', 'Capa', 'Yeray', 'Iñigo Martínez', 'Yuri', 'Raúl García', 'Dani García', 'Unai López', 'Córdoba', 'Muniain', 'Williams', 'Diego López', 'Víctor Gómez', 'Bernardo', 'David López', 'Naldo', 'Dídac Vilà', 'Marc Roca']",73,84,"['Darder', 'Víctor Sánchez', 'Campuzano', 'Vargas', 'San José', 'Larrazabal', 'Aduriz', 'Herrerín', 'Núñez', 'Lekue', 'Ibai Gómez', 'Granero', 'Ferreyra', 'Lei', 'Andrés Prieto', 'Pedrosa', 'Lluís', 'Javi López']",0,0
2019,11,29/10/2019,Barcelona,5-1,Valladolid,Camp Nou,Alberola Rojas,"['Ter Stegen', 'Semedo', 'Lenglet', 'Piqué', 'Jordi Alba', 'Vidal', 'De Jong', 'Busquets', 'Ansu Fati', 'Messi', 'Luis Suárez', 'Masip', 'Pedro Porro', 'Joaquín', 'Kiko Olivas', 'Barba', 'Nacho', 'Waldo']",90,93,"['Míchel', 'Anuar', 'Óscar Plano', 'Sergi Guardiola', 'Sergi Roberto', 'Rakitić', 'Griezmann', 'Neto', 'Todibo', 'Aleñá', 'Carles Pérez', 'Hervías', 'Ünal', 'Salisu', 'Lunin', 'De Frutos', 'Alcaraz', 'Antoñito']",0,0
2019,11,30/10/2019,Betis,2-1,Celta de Vigo,Benito Villamarín,Gil Manzano,"['Joel', 'Emerson', 'Mandi', 'Bartra', 'Feddal', 'Àlex Moreno', 'Ismael', 'Canales', 'Joaquín', 'Fekir', 'Borja Iglesias', 'Rubén Blanco', 'Hugo Mallo', 'Aidoo', 'Araujo', 'Juncà', 'Lobotka', 'Rafinha']",78,79,"['Fran Beltrán', 'Denis Suárez', 'Santi Mina', 'Iago Aspas', 'Lainez', 'Guardado', 'Loren', 'Tello', 'Sidnei', 'Barragán', 'Carlos Marín', 'Bermejo', 'Gabriel Fernández', 'Brais Méndez', 'Sergio Álvarez', 'David Costas', 'Okay', 'Olaza']",0,0
