Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,7,Sevilla ,2 – 1 ,Deportivo Alavés ,Sánchez-Pizjuán ,1 de octubre ,16:15 ,32122,Mateu Lahoz ,8,0
2016,7,Osasuna ,2 – 2 , Las Palmas ,El Sadar ,1 de octubre ,18:30 ,15415,Iglesias Villanueva ,7,0
2016,7,Deportivo de La Coruña ,2 – 1 ,Sporting de Gijón ,Riazor ,1 de octubre ,20:45 ,24864,De Burgos Bengoetxea ,4,0
2016,7,Valencia ,0 – 2 ,Atlético de Madrid ,Mestalla ,2 de octubre ,12:00 ,43271,Clos Gómez ,4,0
2016,7,Real Madrid ,1 – 1 ,Eibar ,Bernabéu ,2 de octubre ,16:15 ,72103,Martínez Munuera ,9,0
2016,7,Málaga ,2 – 1 ,Athletic Club ,La Rosaleda ,2 de octubre ,18:30 ,23080,Del Cerro Grande ,12,1
2016,7,Espanyol ,0 – 0 ,Villarreal ,RCDE Stadium ,2 de octubre ,18:30 ,20254,Munuera Montero ,4,0
2016,7,Celta de Vigo ,4 – 3 ,Barcelona ,Balaídos ,2 de octubre ,20:45 ,20901,Vicandi Garrido ,4,0
2016,8, Las Palmas ,0 – 0 ,Espanyol ,Gran Canaria ,14 de octubre ,20:45 ,20575,Fernández Borbalán ,5,0
2016,8,Leganés ,2 – 3 ,Sevilla ,Butarque ,15 de octubre ,13:00 ,10922,Ocón Arráiz ,7,0
2016,8,Barcelona ,4 – 0 ,Deportivo de La Coruña ,Camp Nou ,15 de octubre ,16:15 ,83553,Sánchez Martínez ,3,1
2016,8,Atlético de Madrid ,7 – 1 ,Granada ,Vicente Calderón ,15 de octubre ,18:30 ,48293,De Burgos Bengoetxea ,2,0
2016,8,Betis ,1 – 6 ,Real Madrid ,Villamarín ,15 de octubre ,20:45 ,41665,Gil Manzano ,4,0
2016,8,Deportivo Alavés ,1 – 1 ,Málaga ,Mendizorroza ,16 de octubre ,12:00 ,17068,Hernández Hernández ,7,1
2016,8,Athletic Club ,3 – 2 ,Real Sociedad ,San Mamés ,16 de octubre ,16:15 ,47256,González González ,6,0
2016,8,Sporting de Gijón ,1 – 2 ,Valencia ,El Molinón ,16 de octubre ,18:30 ,25309,Munuera Montero ,6,0
