Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee
2015,20,18/01/2016,Eibar,5-1,Granada,Estadio Municipal de Ipurua,Sánchez Martínez
2015,21,22/01/2016,Sporting de Gijón,5-1,Real Sociedad,El Molinón,Fernández Borbalán
2015,21,23/01/2016,Málaga,1-2,Barcelona,La Rosaleda,Clos Gómez
2015,21,23/01/2016,Espanyol,2-2,Villarreal,Power8 Stadium,Pérez Montero
2015,21,23/01/2016,Granada,3-2,Getafe,Estadio Nuevo Los Carmenes,De Burgos Bengoetxea
2015,21,23/01/2016,Rayo Vallecano,3-0,Celta de Vigo,Estadio de Vallecas,Jaime Latre
2015,21,24/01/2016,Athletic Club,5-2,Eibar,San Mamés,Gil Manzano
2015,21,24/01/2016,Atlético de Madrid,0-0,Sevilla,Vicente Calderón,Iglesias Villanueva
2015,21,24/01/2016,Deportivo de La Coruña,1-1,Valencia,Estadio Municipal de Riazor,Melero López
2015,21,24/01/2016,Betis,1-1,Real Madrid,Benito Villamarín,Martínez Munuera
2015,21,25/01/2016,Levante,3-2,Las Palmas,Ciutat de Valencia,Velasco Carballo
2015,22,30/01/2016,Barcelona,2-1,Atlético de Madrid,Camp Nou,Undiano Mallenco
2015,22,30/01/2016,Eibar,1-2,Málaga,Estadio Municipal de Ipurua,Mateu Lahoz
2015,22,30/01/2016,Getafe,0-1,Athletic Club,Coliseum Alfonso Pérez,Estrada Fernández
2015,22,30/01/2016,Villarreal,1-0,Granada,El Madrigal,Del Cerro Grande
2015,22,30/01/2016,Real Sociedad,2-1,Betis,Anoeta,Prieto Iglesias
2015,22,31/01/2016,Sevilla,3-1,Levante,Estadio Ramón Sánchez-Pizjuán,Álvarez Izquierdo
2015,22,31/01/2016,Valencia,0-1,Sporting de Gijón,Camp de Mestalla,González González
2015,22,31/01/2016,Las Palmas,2-1,Celta de Vigo,Estadio de Gran Canaria,Sánchez Martínez
2015,22,31/01/2016,Real Madrid,6-0,Espanyol,Estadio Santiago Bernabeu,Hernández Hernández
2015,22,01/02/2016,Deportivo de La Coruña,2-2,Rayo Vallecano,Estadio Municipal de Riazor,Bikandi Garrido
2015,23,05/02/2016,Málaga,3-0,Getafe,La Rosaleda,Martínez Munuera
2015,23,06/02/2016,Atlético de Madrid,3-1,Eibar,Vicente Calderón,Fernández Borbalán
2015,23,06/02/2016,Rayo Vallecano,2-0,Las Palmas,Estadio de Vallecas,Iglesias Villanueva
2015,23,06/02/2016,Athletic Club,0-0,Villarreal,San Mamés,Melero López
2015,23,06/02/2016,Sporting de Gijón,1-1,Deportivo de La Coruña,El Molinón,Hernández Hernández
2015,23,07/02/2016,Levante,0-2,Barcelona,Ciutat de Valencia,Pérez Montero
2015,23,07/02/2016,Betis,1-0,Valencia,Benito Villamarín,Sánchez Martínez
2015,23,07/02/2016,Celta de Vigo,1-1,Sevilla,Balaidos,Velasco Carballo
2015,23,07/02/2016,Granada,1-2,Real Madrid,Estadio Nuevo Los Carmenes,Gil Manzano
2015,23,08/02/2016,Espanyol,0-5,Real Sociedad,Power8 Stadium,Jaime Latre
2015,24,12/02/2016,Sporting de Gijón,2-2,Rayo Vallecano,El Molinón,Clos Gómez
2015,24,13/02/2016,Real Madrid,4-2,Athletic Club,Estadio Santiago Bernabeu,Álvarez Izquierdo
2015,24,13/02/2016,Villarreal,1-0,Málaga,El Madrigal,Bikandi Garrido
2015,24,13/02/2016,Valencia,2-1,Espanyol,Del Cerro Grande,Del Cerro Grande
2015,24,13/02/2016,Deportivo de La Coruña,2-2,Betis,Estadio Municipal de Riazor,Undiano Mallenco
2015,24,14/02/2016,Real Sociedad,3-0,Granada,Anoeta,González González
2015,24,14/02/2016,Sevilla,2-0,Las Palmas,Estadio Ramón Sánchez-Pizjuán,Prieto Iglesias
2015,24,14/02/2016,Getafe,0-1,Atlético de Madrid,Coliseum Alfonso Pérez,Mateu Lahoz
2015,24,14/02/2016,Eibar,2-0,Levante,Estadio Municipal de Ipurua,Estrada Fernández
2015,24,14/02/2016,Barcelona,6-1,Celta de Vigo,Camp Nou,Hernández Hernández
2015,25,19/02/2016,Levante,3-0,Getafe,Ciutat de Valencia,González González
2015,25,20/02/2016,Las Palmas,1-2,Barcelona,Estadio de Gran Canaria,Del Cerro Grande
2015,25,20/02/2016,Espanyol,1-0,Deportivo de La Coruña,Power8 Stadium,De Burgos Bengoetxea
2015,25,20/02/2016,Betis,1-1,Sporting de Gijón,Benito Villamarín,Álvarez Izquierdo
2015,25,20/02/2016,Celta de Vigo,3-2,Eibar,Balaidos,Melero López
2015,25,21/02/2016,Rayo Vallecano,2-2,Sevilla,Estadio de Vallecas,Estrada Fernández
2015,25,21/02/2016,Málaga,1-1,Real Madrid,La Rosaleda,Iglesias Villanueva
2015,25,21/02/2016,Athletic Club,0-1,Real Sociedad,San Mamés,Sánchez Martínez
2015,25,21/02/2016,Granada,1-2,Valencia,Estadio Nuevo Los Carmenes,Bikandi Garrido
2015,25,21/02/2016,Atlético de Madrid,0-0,Villarreal,Vicente Calderón,Prieto Iglesias
2015,26,26/02/2016,Eibar,0-1,Las Palmas,Estadio Municipal de Ipurua,Pérez Montero
2015,26,27/02/2016,Real Madrid,0-1,Atlético de Madrid,Estadio Santiago Bernabeu,Clos Gómez
2015,26,27/02/2016,Sporting de Gijón,2-4,Espanyol,El Molinón,Velasco Carballo
2015,26,27/02/2016,Getafe,0-1,Celta de Vigo,Coliseum Alfonso Pérez,Fernández Borbalán
2015,26,27/02/2016,Betis,2-2,Rayo Vallecano,Benito Villamarín,Mateu Lahoz
2015,26,27/02/2016,Real Sociedad,1-1,Málaga,Anoeta,Undiano Mallenco
2015,26,28/02/2016,Villarreal,3-0,Levante,El Madrigal,Hernández Hernández
2015,26,28/02/2016,Valencia,0-3,Athletic Club,Camp de Mestalla,Gil Manzano
2015,26,28/02/2016,Deportivo de La Coruña,0-1,Granada,Estadio Municipal de Riazor,Martínez Munuera
2015,26,28/02/2016,Barcelona,2-1,Sevilla,Camp Nou,Jaime Latre
2015,16,17/02/2016,Sporting de Gijón,1-3,Barcelona,El Molinón,De Burgos Bengoetxea
2015,27,01/03/2016,Atlético de Madrid,3-0,Real Sociedad,Vicente Calderón,Hernández Hernández
2015,27,01/03/2016,Las Palmas,4-0,Getafe,Estadio de Gran Canaria,Melero López
2015,27,02/03/2016,Athletic Club,4-1,Deportivo de La Coruña,San Mamés,Mateu Lahoz
2015,27,02/03/2016,Sevilla,1-0,Eibar,Estadio Ramón Sánchez-Pizjuán,Martínez Munuera
2015,27,02/03/2016,Celta de Vigo,0-0,Villarreal,Balaidos,Jaime Latre
2015,27,02/03/2016,Málaga,1-2,Valencia,La Rosaleda,González González
2015,27,02/03/2016,Levante,1-3,Real Madrid,Ciutat de Valencia,De Burgos Bengoetxea
2015,27,03/03/2016,Granada,2-0,Sporting de Gijón,Estadio Nuevo Los Carmenes,Estrada Fernández
2015,27,03/03/2016,Espanyol,0-3,Betis,Power8 Stadium,Sánchez Martínez
2015,27,03/03/2016,Rayo Vallecano,1-5,Barcelona,Estadio de Vallecas,Bikandi Garrido
2015,28,05/03/2016,Real Madrid,7-1,Celta de Vigo,Estadio Santiago Bernabeu,Gil Manzano
2015,28,05/03/2016,Villarreal,0-1,Las Palmas,El Madrigal,Clos Gómez
2015,28,05/03/2016,Getafe,1-1,Sevilla,Coliseum Alfonso Pérez,Prieto Iglesias
2015,28,05/03/2016,Deportivo de La Coruña,3-3,Málaga,Estadio Municipal de Riazor,Velasco Carballo
2015,28,06/03/2016,Betis,2-0,Granada,Benito Villamarín,Iglesias Villanueva
2015,28,06/03/2016,Eibar,0-4,Barcelona,Estadio Municipal de Ipurua,Undiano Mallenco
2015,28,06/03/2016,Real Sociedad,1-1,Levante,Anoeta,Pérez Montero
2015,28,06/03/2016,Sporting de Gijón,0-2,Athletic Club,El Molinón,Del Cerro Grande
2015,28,06/03/2016,Valencia,1-3,Atlético de Madrid,Camp de Mestalla,Álvarez Izquierdo
2015,28,07/03/2016,Espanyol,2-1,Rayo Vallecano,Power8 Stadium,Fernández Borbalán
2015,29,11/03/2016,Málaga,1-0,Sporting de Gijón,La Rosaleda,De Burgos Bengoetxea
2015,29,12/03/2016,Barcelona,6-0,Getafe,Camp Nou,Pérez Montero
2015,29,12/03/2016,Celta de Vigo,1-0,Real Sociedad,Balaidos,Martínez Munuera
2015,29,12/03/2016,Atlético de Madrid,3-0,Deportivo de La Coruña,Vicente Calderón,Melero López
2015,29,12/03/2016,Rayo Vallecano,1-1,Eibar,Estadio de Vallecas,Álvarez Izquierdo
2015,29,13/03/2016,Levante,1-0,Valencia,Ciutat de Valencia,Del Cerro Grande
2015,29,13/03/2016,Sevilla,4-2,Villarreal,Estadio Ramón Sánchez-Pizjuán,Velasco Carballo
2015,29,13/03/2016,Athletic Club,3-1,Betis,San Mamés,Jaime Latre
2015,29,13/03/2016,Las Palmas,1-2,Real Madrid,Estadio de Gran Canaria,Fernández Borbalán
2015,29,14/03/2016,Granada,1-1,Espanyol,Estadio Nuevo Los Carmenes,González González
2015,30,18/03/2016,Getafe,1-1,Eibar,Coliseum Alfonso Pérez,Iglesias Villanueva
2015,30,19/03/2016,Sporting de Gijón,2-1,Atlético de Madrid,El Molinón,Gil Manzano
2015,30,19/03/2016,Real Sociedad,0-1,Las Palmas,Anoeta,Mateu Lahoz
2015,30,19/03/2016,Granada,2-2,Rayo Vallecano,Estadio Nuevo Los Carmenes,Hernández Hernández
2015,30,19/03/2016,Deportivo de La Coruña,2-1,Levante,Estadio Municipal de Riazor,Bikandi Garrido
2015,30,19/03/2016,Betis,0-1,Málaga,Benito Villamarín,Clos Gómez
2015,30,20/03/2016,Espanyol,2-1,Athletic Club,Power8 Stadium,Prieto Iglesias
2015,30,20/03/2016,Villarreal,2-2,Barcelona,El Madrigal,Sánchez Martínez
2015,30,20/03/2016,Valencia,0-2,Celta de Vigo,Camp de Mestalla,Undiano Mallenco
2015,30,20/03/2016,Real Madrid,4-0,Sevilla,Estadio Santiago Bernabeu,Estrada Fernández
2015,31,01/04/2016,Rayo Vallecano,2-0,Getafe,Estadio de Vallecas,Jaime Latre
2015,31,02/04/2016,Atlético de Madrid,5-1,Betis,Vicente Calderón,González González
2015,31,02/04/2016,Las Palmas,2-1,Valencia,Estadio de Gran Canaria,Pérez Montero
2015,31,02/04/2016,Barcelona,1-2,Real Madrid,Camp Nou,Hernández Hernández
2015,31,02/04/2016,Celta de Vigo,1-1,Deportivo de La Coruña,Balaidos,Fernández Borbalán
2015,31,03/04/2016,Athletic Club,1-1,Granada,San Mamés,Velasco Carballo
2015,31,03/04/2016,Málaga,1-1,Espanyol,La Rosaleda,Martínez Munuera
2015,31,03/04/2016,Eibar,1-2,Villarreal,Estadio Municipal de Ipurua,Del Cerro Grande
2015,31,03/04/2016,Sevilla,1-2,Real Sociedad,Estadio Ramón Sánchez-Pizjuán,Clos Gómez
2015,31,04/04/2016,Levante,0-0,Sporting de Gijón,Ciutat de Valencia,Melero López
2015,32,08/04/2016,Granada,0-0,Málaga,Estadio Nuevo Los Carmenes,Estrada Fernández
2015,32,09/04/2016,Real Madrid,4-0,Eibar,Estadio Santiago Bernabeu,Sánchez Martínez
2015,32,09/04/2016,Espanyol,1-3,Atlético de Madrid,Power8 Stadium,De Burgos Bengoetxea
2015,32,09/04/2016,Real Sociedad,1-0,Barcelona,Anoeta,Iglesias Villanueva
2015,32,09/04/2016,Betis,1-0,Levante,Benito Villamarín,Prieto Iglesias
2015,32,10/04/2016,Sporting de Gijón,0-1,Celta de Vigo,El Molinón,Mateu Lahoz
2015,32,10/04/2016,Valencia,2-1,Sevilla,Camp de Mestalla,Bikandi Garrido
2015,32,10/04/2016,Villarreal,2-0,Getafe,El Madrigal,Undiano Mallenco
2015,32,10/04/2016,Athletic Club,1-0,Rayo Vallecano,San Mamés,Gil Manzano
2015,32,11/04/2016,Deportivo de La Coruña,1-3,Las Palmas,Estadio Municipal de Riazor,Álvarez Izquierdo
