Season,Round,Date,Time,TeamHome,Result,TeamAway,Referee,Stadium,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway,TeamHomeRecentPointsHome,TeamAwayRecentPointsAway,TeamHomeRecentPoints,TeamHomeRecentTiedMatches,TeamHomeRecentGoalsScored,TeamAwayRecentPoints,TeamAwayRecentTiedMatches,TeamAwayRecentGoalsScored,TeamHomeRecentPointsh2h,TeamHomeCurrentTotalPoints,TeamAwayCurrentTotalPoints
2019,31,24/06/2020,22:00,Real Madrid,2-0,Mallorca,,,"[['Rodrygo', 'Benzema', 'Eden Hazard', 'Kroos', 'Modric', 'Valverde', 'Marcelo', 'Eder Militao', 'Varane', 'Carvajal', 'Courtois']]","[[78, 88, 91, 89, 89, 82, 84, 81, 86, 85, 88]]","[[91, 88, 91, 89, 89, 90, 84, 88, 89, 85, 89]]","[['Budimir', 'Lago Junior', 'Aleix Febas', 'Marc Pedraza', 'Salva Sevilla', 'Dani Rodriguez', 'Fran Gamez', 'Raillo', 'Martin Valjent', 'Alex Pozo', 'Reina']]","[[76, 75, 74, 70, 75, 73, 69, 73, 74, 70, 71]]","[[76, 75, 81, 70, 75, 73, 69, 75, 80, 81, 71]]",13.0,4.0,12.0,0.0,11.0,4.0,1.0,3.0,0.0,65.0,26.0
2019,31,24/06/2020,19:30,Real Sociedad,0-1,Celta de Vigo,,,"[['Oyarzabal', 'Willian Jose', 'Odegaard', 'Zubeldia', 'Mikel Merino', 'Januzaj', 'Monreal', 'Diego Llorente', 'Le Normand', 'Zaldua', 'Alex Remiro']]","[[83, 82, 82, 77, 80, 80, 79, 77, 75, 77, 77]]","[[89, 82, 88, 83, 86, 83, 79, 82, 82, 78, 83]]","[['Iago Aspas', 'Denis Suarez', 'Rafinha', 'Fran Beltran', 'Bradaric', 'Lucas Olaza', 'Nestor Araujo', 'Jeison Murillo', 'Kevin Vazquez', 'Ruben Blanco']]","[[85, 79, 81, 76, 70, 75, 76, 78, 69, 76]]","[[85, 80, 82, 84, 70, 80, 78, 81, 70, 83]]",10.0,4.0,4.0,1.0,3.0,6.0,3.0,6.0,3.0,47.0,30.0
2019,31,23/06/2020,19:30,Valladolid,1-1,Getafe,,,"[['Sergi Guardiola', 'Enes Unal', 'Toni Villa', 'Ruben Alcaraz', 'Joaquin Fernandez', 'Oscar Plano', 'Nacho', 'Salisu', 'Kiko Olivas', 'Javi Moyano', 'Masip']]","[[78, 77, 77, 79, 74, 75, 77, 75, 76, 69, 81]]","[[78, 83, 80, 79, 81, 75, 77, 85, 76, 69, 81]]","[['Jaime Mata', 'Jorge Molina', 'Cucurella', 'Jason', 'Maksimovic', 'Mauro Arambarri', 'Nyom', 'Etxeita', 'Djene', 'Damian Suarez', 'David Soria']]","[[80, 80, 79, 76, 79, 78, 75, 74, 83, 79, 82]]","[[80, 80, 88, 79, 84, 83, 75, 74, 84, 79, 84]]",5.0,9.0,4.0,1.0,3.0,6.0,3.0,3.0,1.0,33.0,48.0
2019,31,22/06/2020,19:30,Villarreal,2-2,Sevilla,,,"[['Alcacer', 'Gerard Moreno', 'Samuel Chukwueze', 'Santi Cazorla', 'Iborra', 'Zambo Anguissa', 'Alberto Moreno', 'Pau Torres', 'Albiol', 'Mario Gaspar', 'Sergio Asenjo']]","[[82, 82, 77, 83, 78, 76, 76, 78, 83, 79, 82]]","[[84, 82, 86, 83, 78, 82, 77, 86, 83, 79, 83]]","[['Munir El Haddadi', 'En-Nesyri', 'Ocampos', 'Joan Jordan', 'Fernando Reges', 'Banega', 'Reguilon', 'Diego Carlos', 'Sergi Gomez', 'Kounde', 'Vaclik']]","[[79, 78, 80, 79, 82, 84, 80, 80, 79, 78, 81]]","[[84, 83, 83, 84, 82, 84, 87, 83, 81, 86, 81]]",9.0,5.0,9.0,0.0,4.0,9.0,3.0,8.0,6.0,47.0,52.0
2019,32,27/06/2020,14:00,Athletic Club,3-1,Mallorca,,,"[['Williams', 'Raul Garcia', 'Inigo Cordoba', 'Unai Lopez', 'Dani Garcia', 'Muniain', 'Yuri Berchiche', 'Inigo Martinez', 'Yeray Alvarez', 'Capa', 'Unai Simon']]","[[82, 80, 77, 78, 80, 83, 81, 81, 80, 79, 79]]","[[85, 80, 83, 82, 80, 83, 81, 82, 84, 79, 85]]","[['Budimir', 'Lago Junior', 'Aleix Febas', 'Iddrisu Baba', 'Dani Rodriguez', 'Kubo', 'Raillo', 'Martin Valjent', 'Sedlar', 'Alex Pozo', 'Reina']]","[[76, 75, 74, 72, 73, 72, 73, 74, 72, 70, 71]]","[[76, 75, 81, 81, 73, 87, 75, 80, 74, 81, 71]]",7.0,4.0,8.0,2.0,8.0,4.0,1.0,3.0,0.0,42.0,26.0
2019,32,27/06/2020,22:00,Atlético de Madrid,2-1,Alavés,,,"[['Morata', 'Joao Felix', 'Koke', 'Saul Niguez', 'Thomas', 'Thomas', 'Correa', 'Renan Lodi', 'Savic', 'Gimenez', 'Trippier', 'Oblak']]","[[83, 80, 86, 85, 84, 82, 82, 79, 83, 85, 81, 91]]","[[84, 93, 86, 89, 87, 86, 85, 86, 84, 89, 81, 93]]","[['Joselu', 'Oliver Burke', 'Manu Garcia', 'Tomas Pina', 'Camarasa', 'Ruben Duarte', 'Rodrigo Ely', 'Laguardia', 'Ximo Navarro', 'Martin Aguirregabiria', 'Pacheco']]","[[75, 68, 77, 77, 76, 76, 75, 79, 75, 75, 82]]","[[75, 73, 77, 77, 80, 81, 79, 79, 75, 80, 84]]",11.0,2.0,11.0,2.0,10.0,4.0,1.0,3.0,4.0,55.0,35.0
2019,32,27/06/2020,17:00,Celta de Vigo,2-2,Barcelona,,,"[['Iago Aspas', 'Okay Yokuslu', 'Bradaric', 'Rafinha', 'Lucas Olaza', 'Nestor Araujo', 'Aidoo', 'Jeison Murillo', 'Kevin Vazquez', 'Ruben Blanco']]","[[85, 78, 70, 81, 75, 76, 75, 78, 69, 76]]","[[85, 83, 70, 82, 80, 78, 81, 81, 70, 83]]","[['Griezmann', 'Luis Suarez', 'Messi', 'Riqui Puig', 'Rakitic', 'Arturo Vidal', 'Jordi Alba', 'Lenglet', 'Pique', 'Nelson Semedo', 'Ter Stegen']]","[[89, 89, 94, 71, 85, 84, 86, 86, 88, 82, 90]]","[[89, 89, 94, 87, 85, 84, 86, 90, 88, 85, 93]]",10.0,7.0,8.0,2.0,7.0,13.0,1.0,8.0,3.0,33.0,68.0
2019,32,28/06/2020,22:00,Espanyol,0-1,Real Madrid,,,"[['Calleri', 'Raul de Tomas', 'Embarba', 'Marc Roca', 'David Lopez', 'Melendo', 'Adria Pedrosa', 'Leandro Cabrera', 'Bernardo', 'Pipa', 'Diego Lopez']]","[[77, 79, 76, 78, 78, 80, 74, 79, 75, 69, 79]]","[[80, 83, 76, 85, 78, 86, 84, 81, 75, 77, 79]]","[['Vinicius jr', 'Benzema', 'Eden Hazard', 'Valverde', 'Casemiro', 'Kroos', 'Marcelo', 'Sergio Ramos', 'Varane', 'Carvajal', 'Courtois']]","[[79, 88, 91, 82, 88, 89, 84, 89, 86, 85, 88]]","[[92, 88, 91, 90, 89, 89, 84, 89, 89, 85, 89]]",8.0,9.0,4.0,1.0,3.0,12.0,0.0,11.0,0.0,24.0,68.0
2019,32,29/06/2020,22:00,Getafe,2-1,Real Sociedad,,,"[['Jorge Molina', 'Jaime Mata', 'Cucurella', 'Maksimovic', 'Mauro Arambarri', 'Nyom', 'Mathias Olivera', 'Etxeita', 'Chema', 'Damian Suarez', 'David Soria']]","[[80, 80, 79, 79, 78, 75, 76, 74, 73, 79, 82]]","[[80, 80, 88, 84, 83, 75, 84, 74, 75, 79, 84]]","[['Oyarzabal', 'Willian Jose', 'Odegaard', 'Zubeldia', 'Mikel Merino', 'Januzaj', 'Monreal', 'Aritz Elustondo', 'Le Normand', 'Zaldua', 'Alex Remiro']]","[[83, 82, 82, 77, 80, 80, 79, 77, 75, 77, 77]]","[[89, 82, 88, 83, 86, 83, 79, 81, 82, 78, 83]]",6.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,49.0,47.0
2019,32,28/06/2020,19:30,Granada,1-2,Eibar,,,"[['Soldado', 'Carlos Fernandez', 'Darwin Machis', 'Eteki', 'Yangel Herrera', 'Puertas', 'Carlos Neva', 'Domingos Duarte', 'German Sanchez', 'Victor Diaz', 'Rui Silva']]","[[76, 75, 76, 72, 72, 75, 73, 75, 77, 75, 78]]","[[76, 82, 76, 81, 81, 75, 78, 79, 77, 75, 83]]","[['Charles', 'Inui', 'Cristoforo', 'Edu Exposito', 'Diop', 'Orellana', 'Cote', 'Paulo Oliveira', 'Esteban Burgos', 'Rober Correa', 'Dmitrovic']]","[[78, 79, 74, 76, 78, 79, 78, 77, 71, 69, 80]]","[[78, 79, 75, 84, 78, 79, 78, 78, 73, 70, 81]]",10.0,2.0,6.0,3.0,5.0,5.0,2.0,6.0,0.0,43.0,32.0
